"id";"N";"M";"G0_GRT";"Gf_GRT";"G0_Gf_GRT";"Gf_GRT_ssG0";"Domaine";"Sujet";"URL";"rt0";"s0";"rtF";"sF"
94;75;136;78,13;6,25;6,25;0;"Rue89.com";"Politic";"http://blogs.rue89.com/ibere-espace/2012/02/26/rigueur-en-espagne-attention-cherie-ca-va-couper-de-partout-226712";57,69;3,85;80,77;3,85
95;87;465;77,78;44,44;38,89;5,55;"Locita.com";"Web/it";"http://fr.locita.com/technologie-2/lemergence-du-roa-dans-le-social-media/";87,5;25;25;37,5
96;257;1803;58,62;45,69;34,48;11,21;"Acrimed.org";"Misc";"http://www.acrimed.org/article3779.html";55,56;22,22;44,44;33,33
97;28;15;18,75;0;0;0;"Rds.ca";"Misc";"http://www.rds.ca/canadien/chroniques/335936.html";77,78;0;86,11;0
98;42;96;57,14;0;0;0;"Leparisien.fr";"International";"http://www.leparisien.fr/international/jacques-beres-a-homs-c-est-pire-qu-a-bagdad-pendant-la-guerre-26-02-2012-1878574.php";100;0;42,86;0
99;134;344;82;12;10;2;"Owni.fr";"Web/it";"http://owni.fr/2012/02/25/operation-com-anonymous/";87,5;0;84,38;0
100;106;483;77,55;14,29;10,2;4,09;"Owni.fr";"Web/it";"http://owni.fr/2012/02/25/dis-mon-depute-cest-quoi-lopen-data/";75;6,25;68,75;0
101;44;59;66,67;25;25;0;"Lesechos.fr";"Web/it";"http://www.lesechos.fr/entreprises-secteurs/service-distribution/interview/0201918357783-robert-badinter-se-lance-dans-la-consultation-juridique-par-internet-294473.php";56;0;88;0
102;34;94;92,86;0;0;0;"Lesechos.fr";"Misc";"http://www.lesechos.fr/entreprises-secteurs/finance-marches/actu/0201919083656-la-bred-a-ete-sanctionnee-par-le-regulateur-en-janvier-294685.php";25;25;25;0
103;158;347;60,38;6,6;5,66;0,94;"Igeneration.fr";"Web/it";"http://www.igeneration.fr/0-apple/30-sur-la-gamme-apple-chez-les-3-suisses-79832";75;0;0;0
104;41;51;77,78;86,11;69,44;16,67;"Jeanmarcmorandini.com";"Cinema";"http://www.jeanmarcmorandini.com/article-267495-oscar-2012-c-est-du-jamais-vu-pour-les-francais.html";78,95;0;84,21;0
105;35;49;87,5;84,38;75;9,38;"Jeanmarcmorandini.com";"Web/it";"http://www.jeanmarcmorandini.com/article-267494-portrait-jean-dujardin-avec-son-oscar-il-devient-l-acteur-le-plus-populaire-de-sa-gen?utm_medium=Twitter&utm_source=jeanmarcmorandini.com";70,59;0;0;0
106;26;32;60;75;60;15;"Jeanmarcmorandini.com";"Web/it";"http://www.jeanmarcmorandini.com/article-267180-morandini-zap-pour-nathalie-kosciusko-morizet-un-ticket-de-metro-coute-4-euros.html?utm_medium=Twitter&utm_source=jeanmarcmorandini.com";63,16;5,26;68,42;5,26
107;44;64;86,49;83,78;72,97;10,81;"Jeanmarcmorandini.com";"Web/it";"http://www.jeanmarcmorandini.com/article-267612-cyril-lignac-etoile-au-guide-michelin.html?utm_medium=Twitter&utm_source=jeanmarcmorandini.com";42,11;15,79;63,16;5,26
108;147;455;69,63;62,22;53,33;8,89;"Jeanmarcmorandini.com";"Television";"http://www.jeanmarcmorandini.com/article-266586-audiences-prime-succes-historique-pour-the-voice-sur-tf1-a-plus-de-9-millions.html";77,78;0;88,89;0
109;23;31;77,78;83,33;72,22;11,11;"Jeanmarcmorandini.com";"Cinema";"http://www.jeanmarcmorandini.com/article-267230-morandini-zap-enorme-cohue-a-l-aeroport-de-los-angeles-pour-les-acteurs-de-the-artist";100;0;0;0
110;225;2224;48;42;28,67;13,33;"Rtl.fr";"Politic";"http://www.rtl.fr/blog/aphatie/todd-schneiderman-l-accent-et-le-racisme-26-02-7744296948";50;75;0;75
111;39;158;80;40;35;5;"Chartsinfrance.net";"Music";"http://www.chartsinfrance.net/Alizee/news-78362.html";66,67;0;33,33;0
112;42;69;86,67;13,33;13,33;0;"Leparisien.fr";"Web/it";"http://www.leparisien.fr/high-tech/internet-coupe-le-31-mars-26-02-2012-1878495.php";60;5;75;0
113;67;64;100;0;0;0;"Visibli.com";"Politic";"http://spartacusk99.visibli.com/share/nt1mV4";66,67;6,67;80;0
